product_id,Avg_Tool_Wear
H31219,113.0
H31220,118.0
H31240,166.0
H31249,190.0
H31256,7.0
H31260,19.0
H31262,26.0
H31269,47.0
H31303,132.0
H31308,146.0
H31314,161.0
H31324,186.0
H31341,19.0
H31371,92.0
H31372,97.0
H31383,124.0
H31393,150.0
H31402,176.0
H31412,2.0
H31434,53.0
H31447,85.0
H31451,98.0
H31473,154.0
H31483,179.0
H31496,212.0
H31497,0.0
H31500,9.0
H31522,62.0
H31524,70.0
H31528,81.0
H31531,91.0
H31532,96.0
H31534,104.0
H31541,123.0
H31543,130.0
H31547,141.0
H31564,180.0
H31567,191.0
H31581,0.0
H31594,35.0
H31595,40.0
H31603,62.0
H31622,111.0
H31628,127.0
H31629,132.0
H31642,166.0
H31665,16.0
H31666,21.0
H31674,40.0
H31691,82.0
H31719,147.0
H31721,154.0
H31734,188.0
H31770,47.0
H31774,59.0
H31776,67.0
H31793,112.0
H31814,163.0
H31817,173.0
H31834,14.0
H31850,55.0
H31859,78.0
H31890,149.0
H31898,170.0
H31901,180.0
H31903,187.0
H31904,192.0
H31906,199.0
H31921,9.0
H31951,79.0
H31955,90.0
H31956,95.0
H31966,120.0
H31983,162.0
H32007,6.0
H32020,39.0
H32024,50.0
H32038,86.0
H32042,98.0
H32045,107.0
H32049,119.0
H32055,136.0
H32059,148.0
H32073,183.0
H32080,203.0
H32083,214.0
H32126,87.0
H32148,142.0
H32164,182.0
H32168,194.0
H32203,59.0
H32205,66.0
H32254,185.0
H32270,223.0
H32274,235.0
H32278,246.0
H32279,0.0
H32281,7.0
H32287,24.0
H32292,40.0
H32300,62.0
H32328,133.0
H32344,174.0
H32357,2.0
H32359,9.0
H32366,29.0
H32368,36.0
H32389,93.0
H32392,103.0
H32395,112.0
H32414,159.0
H32448,18.0
H32467,63.0
H32468,68.0
H32482,103.0
H32498,143.0
H32503,158.0
H32504,163.0
H32515,193.0
H32524,0.0
H32534,28.0
H32537,37.0
H32547,61.0
H32553,76.0
H32554,81.0
H32557,90.0
H32562,107.0
H32563,112.0
H32573,138.0
H32613,14.0
H32628,54.0
H32637,79.0
H32647,104.0
H32655,126.0
H32664,151.0
H32675,179.0
H32678,188.0
H32689,2.0
H32698,25.0
H32714,65.0
H32755,160.0
H32771,197.0
H32781,8.0
H32791,33.0
H32797,49.0
H32800,58.0
H32804,72.0
H32814,96.0
H32832,139.0
H32843,166.0
H32844,171.0
H32860,211.0
H32866,2.0
H32869,11.0
H32870,16.0
H32875,30.0
H32876,35.0
H32897,85.0
H32905,106.0
H32906,111.0
H32914,132.0
H32915,137.0
H32920,152.0
H32928,174.0
H32940,204.0
H32949,13.0
H32984,100.0
H33001,141.0
H33006,156.0
H33013,176.0
H33034,18.0
H33054,70.0
H33087,152.0
H33112,4.0
H33131,51.0
H33139,73.0
H33150,105.0
H33160,130.0
H33166,145.0
H33189,203.0
H33197,11.0
H33239,114.0
H33240,119.0
H33243,130.0
H33265,185.0
H33269,196.0
H33271,204.0
H33276,218.0
H33279,228.0
H33291,25.0
H33298,44.0
H33315,89.0
H33317,96.0
H33318,101.0
H33323,116.0
H33333,142.0
H33341,164.0
H33361,5.0
H33377,47.0
H33385,70.0
H33389,81.0
H33390,86.0
H33404,122.0
H33415,148.0
H33435,198.0
H33439,210.0
H33443,222.0
H33492,101.0
H33499,119.0
H33506,138.0
H33509,148.0
H33526,187.0
H33529,196.0
H33541,12.0
H33553,42.0
H33555,49.0
H33575,100.0
H33580,114.0
H33604,174.0
H33648,61.0
H33665,101.0
H33666,106.0
H33674,130.0
H33722,22.0
H33728,39.0
H33741,72.0
H33750,95.0
H33758,116.0
H33761,126.0
H33769,147.0
H33772,156.0
H33777,171.0
H33778,176.0
H33781,185.0
H33783,192.0
H33810,24.0
H33815,38.0
H33816,43.0
H33834,87.0
H33844,115.0
H33845,120.0
H33847,127.0
H33869,179.0
H33894,20.0
H33896,28.0
H33905,52.0
H33908,62.0
H33912,74.0
H33913,79.0
H33946,156.0
H33979,25.0
H33987,47.0
H34005,91.0
H34017,123.0
H34019,130.0
H34028,152.0
H34033,167.0
H34055,221.0
H34076,34.0
H34081,50.0
H34082,55.0
H34089,73.0
H34091,80.0
H34092,85.0
H34115,143.0
H34128,175.0
H34159,20.0
H34166,38.0
H34167,43.0
H34170,53.0
H34175,66.0
H34183,88.0
H34192,112.0
H34199,129.0
H34202,138.0
H34206,150.0
H34207,155.0
H34220,186.0
H34229,210.0
H34251,44.0
H34252,49.0
H34253,54.0
H34262,80.0
H34293,154.0
H34298,170.0
H34299,175.0
H34308,198.0
H34311,209.0
H34312,214.0
H34318,2.0
H34320,9.0
H34329,35.0
H34330,40.0
H34338,62.0
H34347,85.0
H34357,110.0
H34386,183.0
H34422,54.0
H34453,134.0
H34454,139.0
H34462,161.0
H34463,166.0
H34464,171.0
H34469,184.0
H34477,0.0
H34485,23.0
H34496,52.0
H34510,91.0
H34536,156.0
H34569,27.0
H34571,34.0
H34580,58.0
H34582,65.0
H34591,91.0
H34592,96.0
H34607,132.0
H34610,142.0
H34611,147.0
H34620,170.0
H34643,17.0
H34696,140.0
H34701,154.0
H34710,178.0
H34719,201.0
H34720,206.0
H34725,2.0
H34746,57.0
H34755,84.0
H34769,120.0
H34770,125.0
H34772,132.0
H34780,152.0
H34783,163.0
H34784,168.0
H34786,175.0
H34790,187.0
H34799,209.0
H34804,223.0
H34813,246.0
H34818,4.0
H34827,26.0
H34854,89.0
H34864,115.0
H34894,191.0
H34909,12.0
H34913,26.0
H34917,37.0
H34929,65.0
H34953,127.0
H34959,142.0
H34963,154.0
H34965,162.0
H34966,167.0
H34970,179.0
H34989,18.0
H34990,23.0
H35028,117.0
H35040,148.0
H35061,198.0
H35085,41.0
H35086,46.0
H35096,74.0
H35098,82.0
H35110,112.0
H35117,130.0
H35124,147.0
H35129,160.0
H35158,16.0
H35163,31.0
H35165,38.0
H35166,43.0
H35177,70.0
H35187,95.0
H35197,120.0
H35223,184.0
H35266,59.0
H35270,71.0
H35301,144.0
H35313,176.0
H35319,193.0
H35321,200.0
H35323,208.0
H35327,9.0
H35348,58.0
H35377,127.0
H35378,132.0
H35379,137.0
H35389,161.0
H35390,166.0
H35393,175.0
H35397,188.0
H35398,193.0
H35402,204.0
H35414,0.0
H35424,26.0
H35426,33.0
H35428,40.0
H35461,122.0
H35468,142.0
H35475,160.0
H35511,31.0
H35513,39.0
H35545,118.0
H35550,131.0
H35578,200.0
H35580,207.0
H35584,220.0
H35597,21.0
H35605,42.0
H35632,106.0
H35633,111.0
H35636,121.0
H35640,134.0
H35660,182.0
H35707,86.0
H35709,93.0
H35717,114.0
H35745,184.0
H35754,210.0
H35758,8.0
H35783,70.0
H35787,82.0
H35789,89.0
H35797,108.0
H35798,113.0
H35802,125.0
H35803,130.0
H35830,198.0
H35832,205.0
H35833,210.0
H35862,64.0
H35876,97.0
H35877,102.0
H35886,126.0
H35887,131.0
H35898,157.0
H35901,166.0
H35912,194.0
H35920,217.0
H35922,2.0
H35930,23.0
H35932,30.0
H35944,59.0
H35945,64.0
H35946,69.0
H35949,78.0
H35963,114.0
H35969,130.0
H35973,143.0
H36020,43.0
H36025,57.0
H36051,124.0
H36066,161.0
H36074,182.0
H36081,201.0
H36114,51.0
H36126,83.0
H36143,124.0
H36152,149.0
H36156,161.0
H36162,180.0
H36182,18.0
H36188,35.0
H36201,68.0
H36228,136.0
H36243,175.0
H36250,194.0
H36266,19.0
H36275,43.0
H36284,66.0
H36288,77.0
H36292,90.0
H36293,95.0
H36303,121.0
H36328,183.0
H36340,0.0
H36351,28.0
H36354,38.0
H36364,66.0
H36377,99.0
H36395,143.0
H36399,156.0
H36416,201.0
H36420,3.0
H36428,24.0
H36435,43.0
H36439,55.0
H36448,78.0
H36453,91.0
H36466,124.0
H36467,129.0
H36468,134.0
H36474,150.0
H36485,179.0
H36507,12.0
H36517,38.0
H36521,49.0
H36528,69.0
H36556,139.0
H36557,144.0
H36565,165.0
H36610,64.0
H36632,119.0
H36635,129.0
H36642,148.0
H36656,185.0
H36666,212.0
H36670,0.0
H36692,55.0
H36710,102.0
H36725,137.0
H36732,154.0
H36734,161.0
H36736,168.0
H36744,191.0
H36750,208.0
H36762,19.0
H36780,62.0
H36801,116.0
H36821,168.0
H36857,37.0
H36867,61.0
H36877,87.0
H36880,97.0
H36881,102.0
H36889,123.0
H36895,141.0
H36916,193.0
H36939,33.0
H36945,50.0
H36960,88.0
H36984,151.0
H36996,180.0
H37009,2.0
H37019,26.0
H37040,78.0
H37051,105.0
H37057,122.0
H37063,137.0
H37078,175.0
H37106,10.0
H37108,17.0
H37110,24.0
H37115,39.0
H37117,47.0
H37121,59.0
H37132,87.0
H37133,92.0
H37134,97.0
H37143,121.0
H37150,138.0
H37175,203.0
H37179,8.0
H37181,15.0
H37186,29.0
H37206,75.0
H37209,85.0
H37231,139.0
H37236,153.0
H37244,175.0
H37262,217.0
H37282,41.0
H37290,62.0
H37294,74.0
H37296,81.0
H37297,86.0
H37328,159.0
H37329,164.0
H37338,186.0
H37370,38.0
H37371,43.0
H37374,52.0
H37390,90.0
H37401,117.0
H37423,173.0
H37434,202.0
H37437,212.0
H37455,25.0
H37463,45.0
H37469,60.0
H37474,73.0
H37486,108.0
H37494,127.0
H37496,134.0
H37508,162.0
H37521,194.0
H37524,204.0
H37528,5.0
H37537,27.0
H37544,45.0
H37545,50.0
H37551,67.0
H37573,120.0
H37575,128.0
H37581,143.0
H37585,155.0
H37587,162.0
H37624,23.0
H37626,30.0
H37657,104.0
H37670,136.0
H37674,148.0
H37675,153.0
H37677,160.0
H37679,168.0
H37683,180.0
H37691,202.0
H37695,213.0
H37697,221.0
H37706,19.0
H37712,37.0
H37719,56.0
H37729,85.0
H37732,94.0
H37737,108.0
H37740,119.0
H37757,164.0
H37759,171.0
H37795,53.0
H37799,65.0
H37810,95.0
H37815,108.0
H37831,150.0
H37836,163.0
H37845,185.0
H37878,54.0
H37882,66.0
H37891,91.0
H37916,152.0
H37926,177.0
H37936,0.0
H37937,5.0
H37956,51.0
H37958,59.0
H37984,120.0
H38000,161.0
H38015,199.0
H38017,206.0
H38033,19.0
H38038,34.0
H38043,47.0
H38045,54.0
H38064,100.0
H38066,108.0
H38078,138.0
H38089,166.0
H38099,192.0
H38112,16.0
H38144,93.0
H38145,98.0
H38153,118.0
H38157,130.0
H38176,179.0
H38189,7.0
H38191,14.0
H38229,104.0
H38231,112.0
H38233,120.0
H38235,127.0
H38244,153.0
H38245,158.0
H38249,169.0
H38257,191.0
H38258,196.0
H38280,45.0
H38287,65.0
H38289,72.0
H38295,89.0
H38309,126.0
H38316,146.0
H38338,199.0
H38354,24.0
H38389,109.0
H38406,151.0
H38427,202.0
H38445,28.0
H38448,37.0
H38469,90.0
H38474,105.0
H38479,119.0
H38482,128.0
H38486,140.0
H38493,158.0
H38499,174.0
H38513,2.0
H38515,9.0
H38530,49.0
H38545,85.0
H38549,97.0
H38572,150.0
H38574,158.0
H38582,181.0
H38587,195.0
H38593,8.0
H38630,96.0
H38653,153.0
H38664,181.0
H38672,0.0
H38675,10.0
H38687,40.0
H38692,53.0
H38694,61.0
H38710,100.0
H38719,125.0
H38726,143.0
H38730,155.0
H38742,184.0
H38751,207.0
H38752,212.0
H38754,0.0
H38756,8.0
H38784,77.0
H38789,91.0
H38790,96.0
H38791,101.0
H38797,117.0
H38801,131.0
H38805,144.0
H38807,151.0
H38812,165.0
H38822,191.0
H38831,6.0
H38842,34.0
H38857,73.0
H38860,83.0
H38865,99.0
H38867,107.0
H38884,149.0
H38893,175.0
H38896,185.0
H38897,190.0
H38909,221.0
H38911,0.0
H38912,5.0
H38920,25.0
H38938,69.0
H38944,86.0
H38969,149.0
H38988,197.0
H39002,27.0
H39009,45.0
H39018,68.0
H39038,118.0
H39042,132.0
H39043,137.0
H39047,149.0
H39052,162.0
H39063,187.0
H39069,205.0
H39075,221.0
H39086,0.0
H39098,32.0
H39125,96.0
H39130,110.0
H39136,126.0
H39148,156.0
H39163,192.0
H39169,208.0
H39180,16.0
H39184,27.0
H39188,39.0
H39192,52.0
H39197,66.0
H39199,74.0
H39201,82.0
H39206,97.0
H39207,102.0
H39210,111.0
H39214,124.0
H39216,132.0
H39228,162.0
H39254,16.0
H39258,28.0
H39262,39.0
H39268,56.0
H39274,73.0
H39284,100.0
H39290,118.0
H39297,136.0
H39303,152.0
H39306,161.0
H39314,182.0
H39316,190.0
H39334,28.0
H39336,36.0
H39343,58.0
H39350,75.0
H39353,84.0
H39384,158.0
H39385,163.0
H39392,181.0
H39398,197.0
H39399,202.0
H39410,17.0
H39412,25.0
L47181,3.0
L47182,5.0
L47183,7.0
L47184,9.0
L47186,14.0
L47187,16.0
L47194,40.0
L47195,42.0
L47201,63.0
L47203,68.0
L47205,73.0
L47206,75.0
L47208,82.0
L47209,84.0
L47211,89.0
L47212,91.0
L47213,93.0
L47217,104.0
L47219,111.0
L47220,113.0
L47221,115.0
L47225,128.0
L47227,133.0
L47230,143.0
L47231,145.0
L47233,152.0
L47234,154.0
L47235,156.0
L47236,158.0
L47237,160.0
L47239,165.0
L47240,167.0
L47242,172.0
L47244,177.0
L47245,179.0
L47248,189.0
L47249,191.0
L47251,196.0
L47252,198.0
L47253,200.0
L47254,202.0
L47255,204.0
L47256,206.0
L47257,208.0
L47258,0.0
L47259,2.0
L47261,9.0
L47262,11.0
L47263,13.0
L47264,15.0
L47267,25.0
L47270,33.0
L47271,35.0
L47273,40.0
L47274,42.0
L47278,53.0
L47279,55.0
L47280,57.0
L47281,59.0
L47282,61.0
L47284,66.0
L47285,68.0
L47286,70.0
L47289,80.0
L47290,82.0
L47294,95.0
L47295,97.0
L47296,99.0
L47297,101.0
L47299,106.0
L47300,108.0
L47301,110.0
L47302,112.0
L47303,114.0
L47304,116.0
L47305,118.0
L47306,120.0
L47307,122.0
L47308,124.0
L47309,126.0
L47310,128.0
L47311,130.0
L47314,138.0
L47317,148.0
L47319,155.0
L47320,157.0
L47321,159.0
L47325,172.0
L47327,179.0
L47329,184.0
L47330,186.0
L47333,194.0
L47334,196.0
L47339,214.0
L47340,216.0
L47341,218.0
L47342,0.0
L47345,8.0
L47348,20.0
L47349,22.0
L47351,27.0
L47354,35.0
L47355,37.0
L47356,39.0
L47357,41.0
L47358,43.0
L47359,45.0
L47360,47.0
L47363,57.0
L47364,59.0
L47365,61.0
L47366,63.0
L47367,65.0
L47368,67.0
L47370,72.0
L47371,74.0
L47375,89.0
L47378,99.0
L47379,101.0
L47380,103.0
L47381,105.0
L47383,110.0
L47384,112.0
L47386,117.0
L47388,122.0
L47389,124.0
L47390,126.0
L47391,128.0
L47393,135.0
L47395,140.0
L47396,142.0
L47397,144.0
L47398,146.0
L47400,151.0
L47402,158.0
L47403,160.0
L47404,162.0
L47405,164.0
L47406,166.0
L47407,168.0
L47409,173.0
L47410,175.0
L47411,177.0
L47412,179.0
L47413,181.0
L47414,183.0
L47416,188.0
L47418,193.0
L47419,195.0
L47421,200.0
L47422,202.0
L47423,204.0
L47426,212.0
L47427,214.0
L47428,216.0
L47429,218.0
L47430,0.0
L47432,5.0
L47433,7.0
L47434,9.0
L47435,11.0
L47436,13.0
L47437,15.0
L47438,17.0
L47441,25.0
L47444,33.0
L47445,35.0
L47447,42.0
L47449,49.0
L47452,59.0
L47453,61.0
L47454,63.0
L47455,65.0
L47459,78.0
L47461,83.0
L47463,88.0
L47464,90.0
L47465,92.0
L47466,94.0
L47467,96.0
L47469,103.0
L47470,105.0
L47471,107.0
L47472,109.0
L47476,122.0
L47477,124.0
L47480,134.0
L47481,136.0
L47484,146.0
L47485,148.0
L47486,150.0
L47488,155.0
L47492,168.0
L47493,170.0
L47495,175.0
L47496,177.0
L47497,179.0
L47498,181.0
L47499,183.0
L47501,190.0
L47502,192.0
L47503,194.0
L47505,199.0
L47506,201.0
L47507,203.0
L47513,3.0
L47515,8.0
L47517,13.0
L47518,15.0
L47520,20.0
L47522,25.0
L47523,27.0
L47525,32.0
L47527,37.0
L47528,39.0
L47529,41.0
L47534,59.0
L47535,61.0
L47537,66.0
L47541,77.0
L47543,84.0
L47544,86.0
L47545,88.0
L47548,96.0
L47551,106.0
L47553,111.0
L47554,113.0
L47555,115.0
L47558,123.0
L47559,125.0
L47560,127.0
L47561,129.0
L47562,131.0
L47564,136.0
L47566,141.0
L47567,143.0
L47568,145.0
L47570,150.0
L47571,152.0
L47574,160.0
L47575,162.0
L47576,164.0
L47579,174.0
L47580,176.0
L47581,178.0
L47582,180.0
L47583,182.0
L47584,184.0
L47585,186.0
L47586,188.0
L47589,196.0
L47591,201.0
L47592,203.0
L47593,205.0
L47594,207.0
L47595,209.0
L47596,211.0
L47597,213.0
L47598,0.0
L47602,11.0
L47603,13.0
L47604,15.0
L47606,20.0
L47609,28.0
L47610,30.0
L47611,32.0
L47615,43.0
L47616,45.0
L47617,47.0
L47618,49.0
L47620,54.0
L47622,61.0
L47624,68.0
L47625,70.0
L47626,72.0
L47628,77.0
L47629,79.0
L47633,92.0
L47634,94.0
L47635,96.0
L47637,103.0
L47638,105.0
L47639,107.0
L47641,114.0
L47642,116.0
L47643,118.0
L47644,120.0
L47646,125.0
L47647,127.0
L47648,129.0
L47654,150.0
L47655,152.0
L47656,154.0
L47658,161.0
L47660,166.0
L47662,171.0
L47663,173.0
L47664,175.0
L47668,186.0
L47670,191.0
L47671,193.0
L47672,195.0
L47673,197.0
L47674,199.0
L47677,209.0
L47678,211.0
L47679,213.0
L47682,221.0
L47685,6.0
L47686,8.0
L47688,15.0
L47690,20.0
L47691,22.0
L47692,24.0
L47693,26.0
L47694,28.0
L47695,30.0
L47696,32.0
L47698,37.0
L47700,42.0
L47701,44.0
L47703,49.0
L47704,51.0
L47705,53.0
L47706,55.0
L47709,63.0
L47711,68.0
L47712,70.0
L47713,72.0
L47714,74.0
L47716,81.0
L47720,94.0
L47721,96.0
L47722,98.0
L47725,108.0
L47726,110.0
L47728,115.0
L47729,117.0
L47730,119.0
L47731,121.0
L47736,137.0
L47738,142.0
L47739,144.0
L47740,146.0
L47742,151.0
L47743,153.0
L47748,171.0
L47750,176.0
L47752,181.0
L47753,183.0
L47757,196.0
L47758,198.0
L47761,206.0
L47762,208.0
L47765,220.0
L47766,222.0
L47768,229.0
L47769,231.0
L47770,233.0
L47773,0.0
L47778,18.0
L47780,25.0
L47781,27.0
L47782,29.0
L47783,31.0
L47784,33.0
L47786,38.0
L47788,43.0
L47789,45.0
L47790,47.0
L47791,49.0
L47792,51.0
L47793,53.0
L47795,58.0
L47799,73.0
L47801,78.0
L47803,83.0
L47805,90.0
L47806,92.0
L47807,94.0
L47809,99.0
L47810,101.0
L47811,103.0
L47813,110.0
L47814,112.0
L47815,114.0
L47816,116.0
L47817,118.0
L47818,120.0
L47819,122.0
L47821,127.0
L47825,140.0
L47827,145.0
L47830,155.0
L47831,157.0
L47832,159.0
L47833,161.0
L47834,163.0
L47835,165.0
L47837,170.0
L47838,172.0
L47839,174.0
L47843,185.0
L47844,187.0
L47845,189.0
L47846,191.0
L47847,193.0
L47848,195.0
L47850,202.0
L47851,204.0
L47853,209.0
L47854,0.0
L47857,10.0
L47859,15.0
L47863,28.0
L47864,30.0
L47871,56.0
L47872,58.0
L47873,60.0
L47874,62.0
L47875,64.0
L47878,72.0
L47881,82.0
L47884,92.0
L47885,94.0
L47887,99.0
L47891,110.0
L47892,112.0
L47893,114.0
L47894,116.0
L47895,118.0
L47897,125.0
L47898,127.0
L47899,129.0
L47900,131.0
L47901,133.0
L47902,135.0
L47904,140.0
L47905,142.0
L47909,155.0
L47912,163.0
L47915,173.0
L47916,175.0
L47918,182.0
L47919,184.0
L47921,189.0
L47922,191.0
L47923,193.0
L47924,195.0
L47925,197.0
L47926,199.0
L47927,201.0
L47929,208.0
L47930,210.0
L47932,215.0
L47933,217.0
L47936,227.0
L47937,229.0
L47938,231.0
L47940,236.0
L47941,238.0
L47943,3.0
L47944,5.0
L47945,7.0
L47946,9.0
L47947,11.0
L47948,13.0
L47949,15.0
L47950,17.0
L47953,29.0
L47954,31.0
L47955,33.0
L47956,35.0
L47957,37.0
L47958,39.0
L47959,41.0
L47961,46.0
L47962,48.0
L47964,55.0
L47966,60.0
L47967,62.0
L47970,70.0
L47971,72.0
L47972,74.0
L47975,84.0
L47977,89.0
L47981,100.0
L47982,102.0
L47987,118.0
L47988,120.0
L47989,122.0
L47990,124.0
L47991,126.0
L47992,128.0
L47993,130.0
L47996,138.0
L47997,140.0
L47998,142.0
L47999,144.0
L48000,146.0
L48001,148.0
L48004,156.0
L48005,158.0
L48006,160.0
L48007,162.0
L48008,164.0
L48009,166.0
L48010,168.0
L48012,173.0
L48013,175.0
L48016,185.0
L48017,187.0
L48020,197.0
L48021,199.0
L48023,204.0
L48024,206.0
L48025,208.0
L48027,213.0
L48028,215.0
L48030,5.0
L48033,13.0
L48035,18.0
L48036,20.0
L48043,46.0
L48045,51.0
L48046,53.0
L48049,63.0
L48050,65.0
L48051,67.0
L48053,72.0
L48054,74.0
L48056,79.0
L48059,87.0
L48061,92.0
L48063,97.0
L48064,99.0
L48065,101.0
L48066,103.0
L48069,113.0
L48070,115.0
L48071,117.0
L48072,119.0
L48074,124.0
L48076,129.0
L48077,131.0
L48078,133.0
L48080,140.0
L48082,147.0
L48083,149.0
L48085,156.0
L48089,167.0
L48090,169.0
L48092,174.0
L48093,176.0
L48097,187.0
L48099,192.0
L48104,208.0
L48106,215.0
L48108,5.0
L48109,7.0
L48111,12.0
L48112,14.0
L48113,16.0
L48117,27.0
L48118,29.0
L48119,31.0
L48120,33.0
L48121,35.0
L48126,49.0
L48127,51.0
L48129,56.0
L48130,58.0
L48132,65.0
L48133,67.0
L48135,74.0
L48138,84.0
L48139,86.0
L48140,88.0
L48141,90.0
L48143,95.0
L48144,97.0
L48145,99.0
L48148,107.0
L48149,109.0
L48150,111.0
L48151,113.0
L48152,115.0
L48153,117.0
L48154,119.0
L48157,127.0
L48159,132.0
L48160,134.0
L48161,136.0
L48162,138.0
L48163,140.0
L48164,142.0
L48165,144.0
L48170,162.0
L48172,167.0
L48175,175.0
L48179,186.0
L48180,188.0
L48181,190.0
L48182,192.0
L48183,194.0
L48185,201.0
L48186,203.0
L48188,3.0
L48194,20.0
L48195,22.0
L48197,27.0
L48198,29.0
L48199,31.0
L48200,33.0
L48202,38.0
L48203,40.0
L48204,42.0
L48205,44.0
L48206,46.0
L48208,51.0
L48210,56.0
L48211,58.0
L48212,60.0
L48215,70.0
L48218,80.0
L48219,82.0
L48220,84.0
L48221,86.0
L48222,88.0
L48223,90.0
L48224,92.0
L48226,99.0
L48228,104.0
L48229,106.0
L48230,108.0
L48231,110.0
L48232,112.0
L48235,122.0
L48236,124.0
L48237,126.0
L48238,128.0
L48241,138.0
L48242,140.0
L48245,148.0
L48247,153.0
L48248,155.0
L48251,163.0
L48253,168.0
L48254,170.0
L48256,177.0
L48257,179.0
L48259,186.0
L48260,188.0
L48261,190.0
L48263,197.0
L48265,202.0
L48266,204.0
L48270,6.0
L48271,8.0
L48274,16.0
L48275,18.0
L48276,20.0
L48282,43.0
L48284,48.0
L48286,53.0
L48288,58.0
L48289,60.0
L48290,62.0
L48296,83.0
L48297,85.0
L48298,87.0
L48299,89.0
L48301,96.0
L48302,98.0
L48306,111.0
L48309,119.0
L48310,121.0
L48311,123.0
L48312,125.0
L48315,133.0
L48316,135.0
L48317,137.0
L48318,139.0
L48321,147.0
L48322,149.0
L48323,151.0
L48324,153.0
L48325,155.0
L48326,157.0
L48328,162.0
L48329,164.0
L48330,166.0
L48331,168.0
L48332,170.0
L48334,177.0
L48337,189.0
L48338,191.0
L48339,193.0
L48341,200.0
L48342,202.0
L48343,204.0
L48344,206.0
L48345,208.0
L48347,213.0
L48348,215.0
L48349,217.0
L48352,227.0
L48358,12.0
L48359,14.0
L48361,21.0
L48362,23.0
L48363,25.0
L48364,27.0
L48365,29.0
L48366,31.0
L48368,36.0
L48370,41.0
L48373,49.0
L48381,74.0
L48384,84.0
L48385,86.0
L48388,96.0
L48390,103.0
L48392,110.0
L48395,118.0
L48396,120.0
L48397,122.0
L48400,130.0
L48402,135.0
L48403,137.0
L48404,139.0
L48406,146.0
L48407,148.0
L48409,153.0
L48412,161.0
L48420,192.0
L48422,197.0
L48424,202.0
L48427,212.0
L48428,214.0
L48429,216.0
L48430,218.0
L48432,223.0
